CONTACT_DATE	DOW	NO_SHOW_RATE
2017-02-09 00:00:00.000	Thursday	0.233532934131737
2016-09-08 00:00:00.000	Thursday	0.103896103896104
2017-06-08 00:00:00.000	Thursday	0.073482428115016
2017-01-26 00:00:00.000	Thursday	0.109170305676856
2017-05-25 00:00:00.000	Thursday	0.112171837708831
2017-06-29 00:00:00.000	Thursday	0.0884955752212389
2016-08-11 00:00:00.000	Thursday	0.131687242798354
2016-12-08 00:00:00.000	Thursday	0.148014440433213
2017-05-11 00:00:00.000	Thursday	0.0843023255813953
2016-10-20 00:00:00.000	Thursday	0.124293785310734
2017-06-15 00:00:00.000	Thursday	0.106628242074928
2016-07-28 00:00:00.000	Thursday	0.166666666666667
2016-12-29 00:00:00.000	Thursday	0.0714285714285714
2017-02-02 00:00:00.000	Thursday	0.12280701754386
2017-06-01 00:00:00.000	Thursday	0.0981912144702842
2016-09-22 00:00:00.000	Thursday	0.0814814814814815
2016-08-18 00:00:00.000	Thursday	0.158273381294964
2016-07-21 00:00:00.000	Thursday	0.134782608695652
2017-03-16 00:00:00.000	Thursday	0.121212121212121
2016-08-04 00:00:00.000	Thursday	0.0987654320987654
2017-05-04 00:00:00.000	Thursday	0.0740740740740741
2016-08-25 00:00:00.000	Thursday	0.130268199233716
2016-09-29 00:00:00.000	Thursday	0.0884353741496599
2016-12-22 00:00:00.000	Thursday	0.111111111111111
2017-03-02 00:00:00.000	Thursday	0.0717299578059072
2017-01-12 00:00:00.000	Thursday	0.103975535168196
2016-11-11 00:00:00.000	Friday	0.11070110701107
2016-12-16 00:00:00.000	Friday	0.0762463343108504
2017-04-14 00:00:00.000	Friday	0.0671378091872792
2016-07-29 00:00:00.000	Friday	0.129554655870445
2016-10-07 00:00:00.000	Friday	0.12639405204461
2017-02-03 00:00:00.000	Friday	0.103585657370518
2016-11-25 00:00:00.000	Friday	0.103448275862069
2016-07-08 00:00:00.000	Friday	0.179856115107914
2017-01-13 00:00:00.000	Friday	0.0420560747663551
2016-12-23 00:00:00.000	Friday	0.0962566844919786
2017-01-27 00:00:00.000	Friday	0.0950226244343891
2017-03-03 00:00:00.000	Friday	0.118210862619808
2017-01-06 00:00:00.000	Friday	0.0757575757575758
2017-05-05 00:00:00.000	Friday	0.0805369127516778
2017-06-09 00:00:00.000	Friday	0.116923076923077
2016-10-14 00:00:00.000	Friday	0.116751269035533
2016-11-18 00:00:00.000	Friday	0.121495327102804
2017-03-17 00:00:00.000	Friday	0.0795847750865052
2016-08-19 00:00:00.000	Friday	0.115079365079365
2016-07-01 00:00:00.000	Friday	0.165413533834586
2017-05-19 00:00:00.000	Friday	0.0658307210031348
2016-09-02 00:00:00.000	Friday	0.18
2017-06-02 00:00:00.000	Friday	0.091324200913242
2017-06-16 00:00:00.000	Friday	0.136986301369863
2016-09-30 00:00:00.000	Friday	0.119354838709677
2016-08-12 00:00:00.000	Friday	0.128834355828221
2016-11-04 00:00:00.000	Friday	0.126666666666667
2017-05-12 00:00:00.000	Friday	0.0611510791366906
2016-08-05 00:00:00.000	Friday	0.0954356846473029
2016-09-09 00:00:00.000	Friday	0.134328358208955
2017-03-31 00:00:00.000	Friday	0.125806451612903
2017-02-10 00:00:00.000	Friday	0.136363636363636
2016-07-15 00:00:00.000	Friday	0.099236641221374
2017-03-10 00:00:00.000	Friday	0.119047619047619
2016-09-23 00:00:00.000	Friday	0.12094395280236
2016-10-28 00:00:00.000	Friday	0.092896174863388
2017-01-20 00:00:00.000	Friday	0.152727272727273
2017-02-24 00:00:00.000	Friday	0.0771704180064309
2017-06-23 00:00:00.000	Friday	0.127049180327869
2016-09-16 00:00:00.000	Friday	0.111111111111111
2016-10-21 00:00:00.000	Friday	0.115241635687732
2017-02-17 00:00:00.000	Friday	0.0802675585284281
2017-03-24 00:00:00.000	Friday	0.0967741935483871
2016-12-30 00:00:00.000	Friday	0.140740740740741
2017-04-28 00:00:00.000	Friday	0.113636363636364
2016-08-26 00:00:00.000	Friday	0.116666666666667
2017-05-26 00:00:00.000	Friday	0.109154929577465
2017-06-30 00:00:00.000	Friday	0.0972222222222222
2016-12-09 00:00:00.000	Friday	0.07421875
2017-04-07 00:00:00.000	Friday	0.0542168674698795
2016-07-22 00:00:00.000	Friday	0.141818181818182
2017-04-21 00:00:00.000	Friday	0.0961538461538462
2016-12-02 00:00:00.000	Friday	0.088339222614841
